Gen	theta_10NeaDenYoruba_AFRSpain_EURChinese_EASPeru_AMRChimpGorOrang	theta_11NeaDenYoruba_AFRSpain_EURChinese_EASPeru_AMRChimpGor	theta_12NeaDenYoruba_AFRSpain_EURChinese_EASPeru_AMRChimp	theta_13NeaDenYoruba_AFRSpain_EURChinese_EASPeru_AMR	theta_14NeaDen	theta_15Yoruba_AFRSpain_EURChinese_EASPeru_AMR	theta_16Spain_EURChinese_EASPeru_AMR	theta_17Chinese_EASPeru_AMR	tau_10NeaDenYoruba_AFRSpain_EURChinese_EASPeru_AMRChimpGorOrang	tau_11NeaDenYoruba_AFRSpain_EURChinese_EASPeru_AMRChimpGor	tau_12NeaDenYoruba_AFRSpain_EURChinese_EASPeru_AMRChimp	tau_13NeaDenYoruba_AFRSpain_EURChinese_EASPeru_AMR	tau_14NeaDen	tau_15Yoruba_AFRSpain_EURChinese_EASPeru_AMR	tau_16Spain_EURChinese_EASPeru_AMR	tau_17Chinese_EASPeru_AMR	lnL
10450	0.25136	0.0040796	0.0034675	0.0059642	0.0025821	0.0018247	0.00034161	0.0011653	0.011927	0.0078872	0.0070679	0.001017	0.0010166	0.00011603	5.389e-05	1.4941e-05	-16557460.348
10452	0.25084	0.0040821	0.0034641	0.005968	0.0025133	0.0018259	0.00034183	0.0011661	0.01194	0.0078922	0.0070837	0.0010177	0.0010173	0.0001161	5.3924e-05	1.495e-05	-16557553.627
10454	0.25097	0.0040806	0.003461	0.005968	0.0026921	0.0018259	0.00034183	0.0011661	0.011932	0.0078952	0.00709	0.0010177	0.0010173	0.0001161	5.3924e-05	1.495e-05	-16557284.879
10456	0.25044	0.0040848	0.0034636	0.005968	0.0026598	0.0018259	0.00034183	0.0011661	0.011937	0.007887	0.0070847	0.0010177	0.0010173	0.0001161	5.3924e-05	1.495e-05	-16557110.238
10458	0.25038	0.0040842	0.0034624	0.005968	0.0032211	0.0018259	0.00034183	0.0011661	0.01194	0.0078882	0.0070872	0.0010177	0.0010173	0.0001161	5.3924e-05	1.495e-05	-16557646.133
10460	0.25085	0.0040895	0.0034677	0.005968	0.003326	0.0018259	0.00034183	0.0011661	0.01194	0.007878	0.0070763	0.0010177	0.0010173	0.0001161	5.3924e-05	1.495e-05	-16557610.545
10462	0.25096	0.0040895	0.0034676	0.005968	0.0035961	0.0018259	0.00034183	0.0011661	0.011951	0.007878	0.0070765	0.0010177	0.0010173	0.0001161	5.3924e-05	1.495e-05	-16557764.241
10464	0.25054	0.0040858	0.0034707	0.0059602	0.0033283	0.0018235	0.00035213	0.0011645	0.011935	0.0078647	0.0070518	0.0010164	0.001016	0.00011595	5.221e-05	1.4931e-05	-16557766.102
10466	0.2508	0.0040969	0.0034778	0.0059737	0.0038703	0.0018276	0.00035293	0.0011672	0.011963	0.0078789	0.0070694	0.0010187	0.0010183	0.00011622	5.2329e-05	1.4965e-05	-16557662.503
10468	0.25091	0.0041008	0.0034799	0.0059737	0.0042364	0.0018276	0.00035293	0.0011672	0.011957	0.0078715	0.0070652	0.0010187	0.0010183	0.00011622	5.2329e-05	1.4965e-05	-16557630.628
10470	0.25125	0.0041036	0.0034756	0.0059737	0.0042844	0.0018276	0.00035293	0.0011672	0.011957	0.0078662	0.0070739	0.0010187	0.0010183	0.00011622	5.2329e-05	1.4965e-05	-16557337.382
10472	0.25168	0.0040957	0.0034726	0.0059737	0.0037029	0.0018276	0.00035293	0.0011672	0.01196	0.0078812	0.0070799	0.0010187	0.0010183	0.00011622	5.2329e-05	1.4965e-05	-16557182.047
10474	0.25189	0.0040903	0.0036037	0.0059657	0.0038685	0.0018252	0.00035246	0.0011656	0.01194	0.0078707	0.0070711	0.0010173	0.0010169	0.00011606	5.2259e-05	1.4944e-05	-16557789.526
10476	0.25204	0.0040964	0.0036048	0.0059714	0.0038465	0.0018269	0.00035279	0.0010503	0.011951	0.0078739	0.0070824	0.0010183	0.0010179	0.00011617	5.2308e-05	1.4959e-05	-16558026.395
10478	0.25154	0.0040904	0.0033992	0.0059627	0.0036256	0.0018243	0.00035228	0.0010487	0.011935	0.0078624	0.0070861	0.0010168	0.0010164	0.000116	5.2232e-05	1.4937e-05	-16557992.084
10480	0.25137	0.0040758	0.0033888	0.0059508	0.0040026	0.0018206	0.00035157	0.0010466	0.011915	0.007859	0.0070795	0.0010148	0.0010144	0.00011577	5.2128e-05	1.4907e-05	-16557739.017
10482	0.25124	0.0040678	0.0033824	0.0059446	0.0034416	0.0018187	0.00035121	0.0010455	0.011903	0.007858	0.007078	0.0010137	0.0010133	0.00011565	5.2073e-05	1.4891e-05	-16557612.746
10484	0.25075	0.004063	0.0033854	0.0059446	0.0030514	0.0018187	0.00035121	0.0011318	0.011903	0.0078674	0.0070718	0.0010137	0.0010133	0.00011565	5.2073e-05	1.4891e-05	-16557912.268
10486	0.25229	0.0040777	0.0033984	0.0059615	0.0034408	0.0018239	0.00035221	0.001135	0.011929	0.0078838	0.0070849	0.0010166	0.0010162	0.00011598	5.2221e-05	1.4934e-05	-16557880.892
10488	0.25142	0.0040757	0.0033954	0.0059586	0.0027251	0.001823	0.00035204	0.0011345	0.011932	0.00788	0.0070844	0.0010161	0.0010157	0.00011592	5.2196e-05	1.4927e-05	-16557546.196
10490	0.25069	0.0040814	0.0033986	0.0059586	0.0027153	0.001823	0.00035204	0.0011345	0.011938	0.0078689	0.0070776	0.0010161	0.0010157	0.00011592	5.2196e-05	1.4927e-05	-16557900.802
10492	0.25128	0.0040801	0.0033964	0.0059548	0.0024214	0.0018218	0.00035181	0.0011337	0.01193	0.0078613	0.0070731	0.0010154	0.001015	0.00011585	5.2163e-05	1.4917e-05	-16558067.311
10494	0.25112	0.0040839	0.0033937	0.0059548	0.0024015	0.0018218	0.00035181	0.0011337	0.011929	0.007854	0.0070788	0.0010154	0.001015	0.00011585	5.2163e-05	1.4917e-05	-16557815.757
10496	0.25045	0.0040768	0.0033932	0.0059548	0.0017811	0.0018218	0.00035181	0.0011337	0.01194	0.0078677	0.0070799	0.0010154	0.001015	0.00011585	5.2163e-05	1.4917e-05	-16557871.210
10498	0.24958	0.0040557	0.0033848	0.0059279	0.0016507	0.0018136	0.00035022	0.0010491	0.011892	0.0078375	0.0070334	0.0010109	0.0010105	0.00011532	5.1927e-05	1.485e-05	-16557849.486
10500	0.25033	0.0040691	0.003387	0.0059475	0.0016562	0.0018196	0.00035138	0.0010526	0.011931	0.0078634	0.0070754	0.0010142	0.0010138	0.00011571	5.2099e-05	1.4899e-05	-16557883.256
10502	0.24955	0.0040692	0.0033814	0.0059413	0.0019007	0.0018177	0.00035101	0.0010515	0.011925	0.0078466	0.0070723	0.0010131	0.0010127	0.00011558	5.2044e-05	1.4883e-05	-16557833.525
10504	0.24991	0.0040718	0.0033904	0.0059413	0.002134	0.0018177	0.00035101	0.0010515	0.011913	0.0078417	0.0070536	0.0010131	0.0010127	0.00011558	5.2044e-05	1.4883e-05	-16558218.074
10506	0.24933	0.0040629	0.0033819	0.0059298	0.0021706	0.0018142	0.00035034	0.0010494	0.011906	0.0078285	0.0070439	0.0010112	0.0010108	0.00011536	5.1944e-05	1.4855e-05	-16557853.727
10508	0.24945	0.0040728	0.003394	0.00594	0.0022372	0.0018173	0.00035093	0.0010512	0.011933	0.0078363	0.0070429	0.0010129	0.0010125	0.00011556	5.2033e-05	1.488e-05	-16557891.397
10510	0.24894	0.0040692	0.0033906	0.0059305	0.0018836	0.0018144	0.00035037	0.0010496	0.011911	0.0078182	0.0070275	0.0010113	0.0010109	0.00011537	5.195e-05	1.4856e-05	-16557735.419
10512	0.24981	0.0040714	0.0033985	0.0059404	0.0016107	0.0018174	0.00035096	0.0010513	0.011938	0.0078401	0.0070348	0.001013	0.0010126	0.00011557	5.2037e-05	1.4881e-05	-16558007.279
10514	0.25014	0.0040674	0.0033935	0.006016	0.0016759	0.0018174	0.00035096	0.0010513	0.011931	0.0078479	0.007045	0.001013	0.0010126	0.00011557	5.2037e-05	1.4881e-05	-16558092.300
10516	0.2505	0.0040721	0.0034043	0.0060322	0.0017753	0.0018223	0.00035191	0.0010542	0.011958	0.007881	0.0070604	0.0010157	0.0010153	0.00011588	5.2177e-05	1.4921e-05	-16558128.707
10518	0.25077	0.004071	0.003404	0.0060322	0.0023029	0.0018223	0.00035191	0.0010542	0.011951	0.0078832	0.0070612	0.0010157	0.0010153	0.00011588	5.2177e-05	1.4921e-05	-16557379.882
10520	0.25059	0.0040708	0.0033951	0.0060322	0.0025266	0.0018223	0.00035191	0.0010542	0.011955	0.0078836	0.0070797	0.0010157	0.0010153	0.00011588	5.2177e-05	1.4921e-05	-16557735.556
10522	0.25068	0.0040678	0.0033926	0.0060277	0.0028118	0.001821	0.00035165	0.0010534	0.011956	0.0078778	0.0070745	0.001015	0.0010146	0.00011579	5.2138e-05	1.491e-05	-16557826.286
10524	0.25111	0.0040655	0.0033863	0.0060277	0.0022701	0.001821	0.00035165	0.0010534	0.011956	0.0078822	0.0070874	0.001015	0.0010146	0.00011579	5.2138e-05	1.491e-05	-16558051.849
10526	0.25101	0.0040701	0.0033876	0.0060277	0.0026787	0.001821	0.00035165	0.0010534	0.01195	0.0078732	0.0070848	0.001015	0.0010146	0.00011579	5.2138e-05	1.491e-05	-16557810.758
10528	0.25151	0.0040682	0.003493	0.0060277	0.0025874	0.001821	0.00035165	0.0010534	0.011953	0.007877	0.0070815	0.001015	0.0010146	0.00011579	5.2138e-05	1.491e-05	-16557975.892
10530	0.2521	0.0040813	0.003504	0.0060409	0.0030077	0.001825	0.00035241	0.0010557	0.011975	0.007886	0.0070901	0.0010172	0.0010168	0.00011605	5.2252e-05	1.4943e-05	-16557813.543
10532	0.25173	0.00407	0.0034933	0.0060263	0.0030446	0.0018206	0.00035156	0.0010531	0.011951	0.0078698	0.0070776	0.0010147	0.0010143	0.00011577	5.2126e-05	1.4907e-05	-16557498.005
10534	0.25215	0.00407	0.0034854	0.0060263	0.003004	0.0018206	0.00033981	0.0010531	0.011951	0.0078698	0.0070935	0.0010147	0.0010143	0.00011577	5.393e-05	1.4907e-05	-16557861.993
10536	0.25231	0.0040697	0.003487	0.0060263	0.0026473	0.0018206	0.00033981	0.0010531	0.011954	0.0078704	0.0070904	0.0010147	0.0010143	0.00011577	5.393e-05	1.4907e-05	-16557783.667
